State,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
North Carolina,3082.000,3133.000,3167.000,3184.000,3227.000,3268.000,3304.000,3323.000,3346.000,3385.000,3440.000,3514.000,3574.000,3589.000,3569.000,3654.000,3560.000,3533.000,3706.000,3769.000,3837.000,3911.000,4068.000,4120.000,4109.000,4120.000,4131.000,4242.000,4309.000,4368.000,4376.000,4458.000,4573.000,4663.000,4707.000,4742.000,4802.000,4863.000,4896.000,4952.000,5004.000,5031.000,5084.411,5203.531,5301.150,5389.852,5470.911,5547.188,5607.964,5685.607,5759.492,5823.491,5898.980,5956.653,6019.101,6077.056,6164.006,6253.954,6321.578,6403.700,6480.594,6565.459,6656.987,6748.135,6831.850,6947.412,7060.959,7185.403,7307.658,7428.672,7545.828,7650.789,8081.614,8210.122,8326.201,8422.501,8553.152,8705.407,8917.270,9118.037,9309.449,9449.566,9574.586,9658.913,9751.810
North Dakota,665.000,674.000,682.000,680.000,676.000,674.000,672.000,670.000,664.000,655.000,647.000,644.000,640.000,615.000,583.000,546.000,534.000,546.000,570.000,578.000,580.000,597.000,619.000,604.000,608.000,609.000,611.000,615.000,613.000,612.000,606.000,618.000,634.000,641.000,637.000,644.000,649.000,649.000,647.000,626.000,621.000,621.000,617.792,626.760,631.119,632.675,634.559,638.886,645.797,649.769,651.301,652.896,654.380,659.505,668.972,676.688,680.497,676.980,669.512,661.136,655.331,646.351,637.364,634.199,635.427,637.229,639.762,641.548,642.858,640.945,637.808,633.666,642.023,639.062,638.168,638.817,644.705,646.089,649.422,652.822,657.569,664.968,674.752,685.526,702.227
Ohio,6608.000,6626.000,6662.000,6694.000,6717.000,6740.000,6751.000,6787.000,6801.000,6809.000,6837.000,6886.000,6929.000,6958.000,6969.000,6868.000,6918.000,6916.000,7512.000,7705.000,7876.000,7973.000,7980.000,8061.000,8275.000,8591.000,8873.000,9017.000,9207.000,9410.000,9599.000,9671.000,9734.000,9854.000,9929.000,9986.000,10080.000,10201.000,10330.000,10414.000,10516.000,10563.000,10657.423,10734.818,10746.993,10767.314,10765.759,10770.425,10752.662,10771.394,10795.581,10798.298,10800.650,10788.330,10757.087,10737.632,10737.746,10734.926,10730.268,10760.090,10798.552,10829.217,10861.837,10933.683,11007.609,11070.385,11111.451,11155.493,11187.032,11212.498,11237.752,11256.654,11363.543,11387.404,11407.889,11434.788,11452.251,11463.320,11481.213,11500.468,11515.391,11528.896,11539.449,11545.735,11550.971
Oklahoma,2344.000,2372.000,2401.000,2403.000,2394.000,2392.000,2391.000,2386.000,2365.000,2334.000,2324.000,2333.000,2325.000,2262.000,2215.000,2205.000,2043.000,2028.000,2128.000,2133.000,2089.000,2105.000,2229.000,2210.000,2219.000,2182.000,2209.000,2250.000,2273.000,2282.000,2267.000,2289.000,2336.000,2380.000,2427.000,2439.000,2446.000,2440.000,2454.000,2489.000,2503.000,2535.000,2559.463,2618.601,2658.646,2695.931,2734.768,2774.683,2826.815,2870.014,2917.336,2975.310,3040.758,3096.164,3206.123,3290.402,3285.533,3271.332,3252.735,3210.122,3167.057,3150.307,3147.105,3166.471,3204.174,3228.829,3246.119,3265.547,3289.634,3314.259,3339.478,3358.044,3454.365,3467.100,3489.080,3504.892,3525.233,3548.597,3594.090,3634.349,3668.976,3717.572,3760.014,3788.824,3819.320
Oregon,936.000,947.000,956.000,966.000,972.000,978.000,985.000,1001.000,1025.000,1048.000,1067.000,1081.000,1086.000,1071.000,1107.000,1221.000,1233.000,1250.000,1338.000,1361.000,1405.000,1431.000,1532.000,1556.000,1582.000,1601.000,1626.000,1659.000,1698.000,1712.000,1718.000,1746.000,1772.000,1787.000,1818.000,1853.000,1888.000,1937.000,1969.000,1979.000,2004.000,2062.000,2091.533,2151.022,2197.297,2241.932,2285.013,2329.661,2378.262,2446.673,2518.298,2588.012,2641.218,2667.982,2664.922,2653.066,2666.588,2672.652,2683.528,2700.991,2741.297,2790.575,2858.547,2918.745,2973.934,3034.490,3087.142,3141.421,3195.087,3243.254,3282.055,3316.154,3429.708,3467.937,3513.424,3547.376,3569.463,3613.202,3670.883,3722.417,3768.748,3808.600,3837.614,3872.672,3900.102
Pennsylvania,9802.000,9723.000,9649.000,9707.000,9764.000,9784.000,9795.000,9774.000,9767.000,9790.000,9952.000,9901.000,9896.000,9911.000,9704.000,9444.000,9214.000,9143.000,9866.000,10196.000,10287.000,10390.000,10507.000,10461.000,10503.000,10662.000,10817.000,10939.000,10972.000,10954.000,11058.000,11234.000,11329.000,11392.000,11355.000,11424.000,11519.000,11620.000,11664.000,11681.000,11741.000,11741.000,11800.766,11886.400,11908.233,11890.527,11870.884,11906.095,11897.378,11893.591,11879.396,11887.975,11868.305,11858.567,11845.146,11837.723,11815.172,11770.862,11782.752,11810.866,11845.752,11865.996,11895.604,11943.160,11980.819,12022.128,12042.545,12044.780,12038.008,12015.888,12002.329,11994.016,12284.173,12298.970,12331.031,12374.658,12410.722,12449.990,12510.809,12563.937,12612.285,12666.858,12711.406,12747.052,12769.123
Rhode Island,678.000,684.000,686.000,681.000,677.000,675.000,675.000,678.000,686.000,694.000,694.000,701.000,719.000,731.000,748.000,760.000,795.000,776.000,770.000,776.000,787.000,801.000,786.000,784.000,802.000,815.000,816.000,823.000,840.000,851.000,858.000,857.000,855.000,858.000,871.000,876.000,885.000,893.000,899.000,909.000,922.000,932.000,949.723,963.107,974.790,975.738,950.615,942.788,946.089,950.230,951.816,950.382,948.773,953.013,954.170,956.382,961.894,968.955,977.341,989.604,996.408,1000.666,1004.649,1003.990,1000.571,997.852,993.412,989.203,987.858,986.966,987.704,990.819,1050.268,1057.142,1065.995,1071.342,1074.579,1067.916,1063.096,1057.315,1055.003,1053.646,1053.994,1053.829,1054.893
South Carolina,1739.000,1739.000,1745.000,1753.000,1748.000,1752.000,1760.000,1769.000,1781.000,1802.000,1834.000,1872.000,1902.000,1962.000,2007.000,1967.000,1943.000,1934.000,1936.000,1992.000,1996.000,2029.000,2113.000,2167.000,2178.000,2181.000,2176.000,2200.000,2229.000,2274.000,2304.000,2348.000,2392.000,2409.000,2423.000,2460.000,2475.000,2494.000,2520.000,2533.000,2559.000,2570.000,2590.713,2662.269,2719.197,2776.605,2844.749,2902.028,2943.657,2991.681,3044.364,3090.267,3134.502,3179.255,3207.614,3234.066,3271.868,3303.209,3342.758,3380.506,3412.096,3456.775,3499.064,3559.470,3600.576,3634.507,3666.456,3699.943,3738.974,3790.066,3839.578,3885.736,4024.223,4064.995,4107.795,4150.297,4210.921,4270.150,4357.847,4444.110,4528.996,4589.872,4635.846,4672.655,4719.027
South Dakota,685.000,690.000,693.000,694.000,692.000,690.000,682.000,674.000,666.000,656.000,649.000,645.000,641.000,613.000,589.000,587.000,565.000,579.000,588.000,601.000,612.000,631.000,655.000,655.000,651.000,648.000,655.000,663.000,670.000,666.000,656.000,667.000,683.000,693.000,705.000,708.000,701.000,692.000,683.000,671.000,669.000,668.000,666.257,671.297,677.234,678.715,679.585,681.042,686.390,688.480,688.580,688.335,690.851,689.584,690.597,693.008,697.249,698.402,696.034,696.036,698.165,696.701,696.667,701.445,708.698,716.258,723.038,728.251,730.699,730.855,730.789,733.133,755.844,757.972,760.020,763.729,770.396,775.493,783.033,791.623,799.124,807.067,816.193,823.740,833.859
Tennessee,2624.000,2604.000,2619.000,2657.000,2711.000,2747.000,2784.000,2798.000,2791.000,2795.000,2821.000,2874.000,2935.000,2973.000,2939.000,2972.000,2868.000,2878.000,3074.000,3166.000,3216.000,3236.000,3315.000,3372.000,3352.000,3319.000,3359.000,3415.000,3415.000,3434.000,3471.000,3522.000,3575.000,3622.000,3673.000,3718.000,3771.000,3798.000,3822.000,3859.000,3878.000,3897.000,3926.018,4013.608,4094.611,4147.401,4213.509,4275.566,4346.928,4422.921,4486.314,4560.473,4600.252,4627.658,4646.041,4659.749,4686.737,4715.296,4738.708,4782.927,4822.437,4854.444,4890.626,4946.886,5013.999,5085.666,5163.016,5241.168,5313.576,5378.433,5432.679,5483.535,5703.719,5750.789,5795.918,5847.812,5910.809,5991.057,6088.766,6175.727,6247.411,6306.019,6355.518,6400.298,6455.752
Texas,5675.000,5762.000,5844.000,5907.000,5961.000,6014.000,6053.000,6123.000,6192.000,6250.000,6301.000,6360.000,6425.000,6585.000,6711.000,7012.000,6876.000,6826.000,7197.000,7388.000,7626.000,7623.000,7776.000,8111.000,8314.000,8336.000,8382.000,8660.000,8830.000,9070.000,9252.000,9405.000,9624.000,9820.000,10053.000,10159.000,10270.000,10378.000,10492.000,10599.000,10819.000,11045.000,11198.655,11509.848,11759.148,12019.543,12268.629,12568.843,12904.089,13193.050,13500.429,13888.371,14338.208,14746.318,15331.415,15751.676,16007.086,16272.734,16561.113,16621.791,16667.022,16806.735,17044.714,17339.904,17650.479,17996.764,18338.319,18679.706,19006.240,19355.427,19712.389,20044.141,20944.499,21319.622,21690.325,22030.931,22394.023,22778.123,23359.580,23831.983,24309.039,24801.761,25241.897,25645.504,26084.120
Utah,504.000,508.000,509.000,513.000,517.000,520.000,522.000,526.000,527.000,529.000,535.000,543.000,552.000,551.000,575.000,631.000,605.000,591.000,638.000,636.000,653.000,671.000,696.000,706.000,724.000,739.000,750.000,783.000,809.000,826.000,845.000,870.000,900.000,936.000,958.000,974.000,978.000,994.000,1009.000,1019.000,1029.000,1047.000,1059.273,1101.192,1135.449,1170.040,1200.471,1236.030,1274.928,1319.512,1367.510,1420.238,1472.595,1515.471,1558.314,1594.943,1622.342,1642.910,1662.834,1678.119,1689.372,1705.864,1729.722,1771.941,1821.498,1875.993,1930.436,1976.774,2022.253,2065.397,2100.562,2129.836,2244.502,2283.715,2324.815,2360.137,2401.580,2457.719,2525.507,2597.746,2663.029,2723.421,2775.413,2814.797,2854.146
Vermont,358.000,359.000,360.000,359.000,358.000,357.000,357.000,357.000,357.000,356.000,356.000,358.000,363.000,348.000,343.000,327.000,314.000,315.000,342.000,354.000,359.000,369.000,379.000,378.000,375.000,379.000,377.000,375.000,377.000,376.000,380.000,387.000,389.000,390.000,393.000,397.000,399.000,404.000,413.000,423.000,430.000,437.000,444.732,454.318,463.143,468.430,473.002,479.713,484.928,491.931,498.109,505.372,512.524,515.594,519.109,523.302,526.660,530.035,534.066,540.267,549.763,557.707,564.526,567.141,570.115,574.004,578.900,582.827,586.352,588.665,590.579,593.740,609.618,612.223,615.442,617.858,619.920,621.215,622.892,623.481,624.151,624.817,625.886,627.197,626.361
Virginia,2435.000,2425.000,2427.000,2445.000,2452.000,2460.000,2485.000,2520.000,2552.000,2590.000,2638.000,2670.000,2720.000,2855.000,3038.000,3130.000,3248.000,3193.000,3212.000,3201.000,3207.000,3292.000,3315.000,3434.000,3504.000,3557.000,3555.000,3588.000,3722.000,3844.000,3914.000,3951.000,3986.000,4095.000,4180.000,4276.000,4357.000,4411.000,4456.000,4508.000,4558.000,4614.000,4651.448,4750.838,4824.472,4901.292,4971.069,5047.395,5121.863,5193.112,5270.240,5307.945,5368.334,5444.097,5492.783,5564.657,5643.870,5715.153,5811.700,5932.268,6036.909,6120.246,6213.526,6283.853,6383.315,6464.795,6536.771,6601.392,6665.491,6732.878,6789.225,6872.912,7105.817,7198.362,7286.873,7366.977,7475.575,7577.105,7673.725,7751.000,7833.496,7925.937,8024.004,8102.437,8187.456
Washington,1551.000,1555.000,1568.000,1581.000,1584.000,1592.000,1610.000,1629.000,1653.000,1681.000,1698.000,1715.000,1740.000,1789.000,1901.000,2027.000,2092.000,2206.000,2288.000,2211.000,2255.000,2294.000,2387.000,2424.000,2448.000,2466.000,2516.000,2604.000,2668.000,2724.000,2773.000,2821.000,2855.000,2882.000,2942.000,2955.000,2961.000,2967.000,3057.000,3174.000,3270.000,3343.000,3413.244,3447.553,3447.885,3478.782,3549.946,3621.339,3693.610,3776.050,3889.073,4017.632,4154.678,4235.731,4276.552,4300.266,4343.656,4400.098,4452.720,4531.901,4639.893,4746.316,4900.780,5013.443,5139.011,5247.704,5334.896,5431.024,5509.963,5604.105,5687.832,5756.361,5910.512,5985.722,6052.349,6104.115,6178.645,6257.305,6370.753,6461.587,6562.231,6667.426,6743.009,6827.479,6898.599
West Virginia,1696.000,1717.000,1733.000,1740.000,1747.000,1752.000,1771.000,1794.000,1808.000,1813.000,1828.000,1868.000,1907.000,1885.000,1831.000,1741.000,1706.000,1708.000,1826.000,1883.000,1899.000,1930.000,2006.000,1984.000,1957.000,1929.000,1905.000,1880.000,1857.000,1843.000,1845.000,1855.000,1853.000,1828.000,1809.000,1796.000,1797.000,1786.000,1775.000,1769.000,1763.000,1746.000,1744.237,1770.657,1797.648,1806.360,1815.447,1842.250,1879.503,1908.088,1923.395,1942.146,1951.349,1954.124,1949.604,1945.061,1927.697,1906.831,1882.350,1857.585,1830.215,1806.568,1792.481,1798.212,1805.462,1816.179,1818.490,1820.560,1818.983,1815.588,1811.688,1806.928,1807.021,1801.481,1805.414,1812.295,1816.438,1820.492,1827.912,1834.052,1840.310,1847.775,1854.265,1856.606,1857.446
Wisconsin,2923.000,2934.000,2950.000,2990.000,3021.000,3040.000,3054.000,3070.000,3082.000,3088.000,3098.000,3121.000,3143.000,3140.000,3053.000,3014.000,2980.000,2961.000,3167.000,3250.000,3314.000,3391.000,3438.000,3439.000,3469.000,3506.000,3608.000,3679.000,3742.000,3791.000,3843.000,3891.000,3962.000,4009.000,4049.000,4112.000,4165.000,4232.000,4274.000,4303.000,4345.000,4378.000,4417.821,4462.155,4502.412,4524.244,4545.782,4578.986,4595.904,4626.514,4646.108,4682.811,4712.045,4726.343,4728.870,4721.438,4735.563,4747.767,4755.618,4777.919,4822.388,4856.574,4902.265,4952.675,5004.636,5055.318,5095.504,5137.004,5173.828,5200.235,5222.124,5250.446,5373.999,5406.835,5445.162,5479.203,5514.026,5546.166,5577.655,5610.775,5640.996,5669.264,5690.538,5705.840,5720.825
Wyoming,220.000,223.000,226.000,229.000,230.000,230.000,233.000,237.000,240.000,243.000,246.000,248.000,250.000,247.000,251.000,247.000,242.000,239.000,254.000,258.000,269.000,277.000,290.000,291.000,293.000,290.000,293.000,307.000,312.000,314.000,315.000,320.000,331.000,337.000,333.000,336.000,339.000,332.000,323.000,322.000,324.000,329.000,332.416,340.285,347.345,354.061,365.501,381.695,396.952,413.354,432.880,454.378,474.185,491.712,506.400,510.345,504.896,499.695,495.633,476.965,465.101,458.374,453.401,457.739,463.491,469.033,474.982,478.447,480.085,480.031,480.045,479.602,494.300,494.657,500.017,503.453,509.106,514.157,522.667,534.876,546.043,559.851,564.531,567.491,576.656
