Year,AdminISO,AdminName,Population,Cases,Incidence
1933,HI,HAWAII,,,
1933,IA,IOWA,2495.000,824,33.026
1933,ID,IDAHO,464.000,898,193.534
1933,IL,ILLINOIS,7768.000,12092,155.664
1933,IN,INDIANA,3304.000,3570,108.051
1933,KS,KANSAS,1877.000,6289,335.056
1933,KY,KENTUCKY,2698.000,1560,57.821
1933,LA,LOUISIANA,2178.000,931,42.746
1933,MA,MASSACHUSETTS,4282.000,15067,351.868
1933,MD,MARYLAND,1694.000,697,41.145
1933,ME,MAINE,821.000,110,13.398
1933,MI,MICHIGAN,4780.000,22089,462.113
1933,MN,MINNESOTA,2673.000,20110,752.338
1933,MO,MISSOURI,3773.000,5771,152.955
1933,MS,MISSISSIPPI,2031.000,,
1933,MT,MONTANA,541.000,2270,419.593
1933,NC,NORTH CAROLINA,3268.000,16197,495.624
1933,ND,NORTH DAKOTA,674.000,2518,373.591
1933,NE,NEBRASKA,1385.000,1625,117.329
1933,NH,NEW HAMPSHIRE,477.000,1042,218.449
1933,NJ,NEW JERSEY,4107.000,29855,726.930
1933,NM,NEW MEXICO,449.000,668,148.775
1933,NV,NEVADA,96.000,,
1933,NY,NEW YORK,13126.000,72057,548.964
1933,OH,OHIO,6740.000,15751,233.694
1933,OK,OKLAHOMA,2392.000,2437,101.881
1933,OR,OREGON,978.000,2253,230.368
1933,PA,PENNSYLVANIA,9784.000,32912,336.386
1933,RI,RHODE ISLAND,675.000,63,9.333
1933,SC,SOUTH CAROLINA,1752.000,6319,360.674
1933,SD,SOUTH DAKOTA,690.000,2064,299.130
1933,TN,TENNESSEE,2747.000,3667,133.491
1933,TX,TEXAS,6014.000,21734,361.390
1933,UT,UTAH,520.000,2091,402.115
1933,VA,VIRGINIA,2460.000,7690,312.605
1933,VT,VERMONT,357.000,1256,351.870
1933,WA,WASHINGTON,1592.000,2481,155.842
1933,WI,WISCONSIN,3040.000,9651,317.467
1933,WV,WEST VIRGINIA,1752.000,5315,303.368
1933,WY,WYOMING,230.000,573,249.130
1934,AK,ALASKA,,,
1934,AL,ALABAMA,2685.000,15849,590.279
1934,AR,ARKANSAS,1878.000,7222,384.558
1934,AZ,ARIZONA,428.000,1022,238.785
1934,CA,CALIFORNIA,6060.000,25650,423.267
1934,CO,COLORADO,1075.000,12946,1204.279
1934,CT,CONNECTICUT,1075.000,3035,282.364
1934,DC,DISTRICT OF COLUMBIA,568.000,6461,1137.500
1934,DE,DELAWARE,250.000,3063,1225.200
1934,FL,FLORIDA,1585.000,8015,505.678
1934,GA,GEORGIA,2964.000,22965,774.798
1934,HI,HAWAII,,,
1934,IA,IOWA,2510.000,8694,346.375
1934,ID,IDAHO,473.000,1194,252.431
1934,IL,ILLINOIS,7772.000,44676,574.833
1934,IN,INDIANA,3319.000,20943,631.003
1934,KS,KANSAS,1868.000,10066,538.865
1934,KY,KENTUCKY,2722.000,11501,422.520
1934,LA,LOUISIANA,2202.000,4866,220.981
1934,MA,MASSACHUSETTS,4305.000,44749,1039.466
1934,MD,MARYLAND,1710.000,26948,1575.906
1934,ME,MAINE,829.000,647,78.046
1934,MI,MICHIGAN,4798.000,6355,132.451
1934,MN,MINNESOTA,2695.000,8451,313.581
1934,MO,MISSOURI,3784.000,20414,539.482
1934,MS,MISSISSIPPI,2050.000,,
1934,MT,MONTANA,545.000,1940,355.963
1934,NC,NORTH CAROLINA,3304.000,55684,1685.351
1934,ND,NORTH DAKOTA,672.000,4419,657.589
1934,NE,NEBRASKA,1382.000,4575,331.042
1934,NH,NEW HAMPSHIRE,480.000,4064,846.667
1934,NJ,NEW JERSEY,4089.000,14718,359.941
1934,NM,NEW MEXICO,461.000,3374,731.887
1934,NV,NEVADA,98.000,,
1934,NY,NEW YORK,13253.000,34208,258.115
1934,OH,OHIO,6751.000,27713,410.502
1934,OK,OKLAHOMA,2391.000,9040,378.084
1934,OR,OREGON,985.000,1906,193.503
1934,PA,PENNSYLVANIA,9795.000,83076,848.147
1934,RI,RHODE ISLAND,675.000,444,65.778
1934,SC,SOUTH CAROLINA,1760.000,11222,637.614
1934,SD,SOUTH DAKOTA,682.000,9370,1373.900
1934,TN,TENNESSEE,2784.000,18036,647.845
1934,TX,TEXAS,6053.000,29699,490.649
1934,UT,UTAH,522.000,11405,2184.866
1934,VA,VIRGINIA,2485.000,9460,380.672
1934,VT,VERMONT,357.000,4137,1158.753
1934,WA,WASHINGTON,1610.000,7628,473.789
1934,WI,WISCONSIN,3054.000,40706,1332.875
1934,WV,WEST VIRGINIA,1771.000,4105,231.790
1934,WY,WYOMING,233.000,2254,967.382
1935,AK,ALASKA,,,
1935,AL,ALABAMA,2719.000,7214,265.318
1935,AR,ARKANSAS,1890.000,1518,80.317
1935,AZ,ARIZONA,434.000,586,135.023
1935,CA,CALIFORNIA,6175.000,28799,466.381
1935,CO,COLORADO,1078.000,12786,1186.085
1935,CT,CONNECTICUT,1666.000,24149,1449.520
1935,DC,DISTRICT OF COLUMBIA,608.000,929,152.796
1935,DE,DELAWARE,252.000,1040,412.698
1935,FL,FLORIDA,1613.000,1174,72.784
1935,GA,GEORGIA,2955.000,31,1.049
1935,HI,HAWAII,,,
1935,IA,IOWA,2524.000,21849,865.650
1935,ID,IDAHO,481.000,877,182.328
1935,IL,ILLINOIS,7797.000,58229,746.813
1935,IN,INDIANA,3332.000,9967,299.130
1935,KS,KANSAS,1872.000,26190,1399.038
1935,KY,KENTUCKY,2748.000,14667,533.734
1935,LA,LOUISIANA,2228.000,2613,117.280
1935,MA,MASSACHUSETTS,4343.000,12453,286.737
1935,MD,MARYLAND,1729.000,2302,133.141
1935,ME,MAINE,836.000,7171,857.775
1935,MI,MICHIGAN,4838.000,77451,1600.889
1935,MN,MINNESOTA,2717.000,28855,1062.017
1935,MO,MISSOURI,3798.000,13110,345.182
1935,MS,MISSISSIPPI,2061.000,,
1935,MT,MONTANA,550.000,7824,1422.545
1935,NC,NORTH CAROLINA,3323.000,10763,323.894
1935,ND,NORTH DAKOTA,670.000,1946,290.448
1935,NE,NEBRASKA,1375.000,8795,639.636
1935,NH,NEW HAMPSHIRE,481.000,265,55.094
1935,NJ,NEW JERSEY,4085.000,32392,792.950
1935,NM,NEW MEXICO,475.000,703,148.000
1935,NV,NEVADA,100.000,,
1935,NY,NEW YORK,13375.000,69073,516.434
1935,OH,OHIO,6787.000,36976,544.806
1935,OK,OKLAHOMA,2386.000,2456,102.934
1935,OR,OREGON,1001.000,7061,705.395
1935,PA,PENNSYLVANIA,9774.000,89661,917.342
1935,RI,RHODE ISLAND,678.000,6740,994.100
1935,SC,SOUTH CAROLINA,1769.000,818,46.241
1935,SD,SOUTH DAKOTA,674.000,1127,167.211
1935,TN,TENNESSEE,2798.000,1436,51.322
1935,TX,TEXAS,6123.000,3923,64.070
1935,UT,UTAH,526.000,264,50.190
1935,VA,VIRGINIA,2520.000,9812,389.356
1935,VT,VERMONT,357.000,2597,727.341
1935,WA,WASHINGTON,1629.000,8560,525.476
1935,WI,WISCONSIN,3070.000,43453,1415.407
1935,WV,WEST VIRGINIA,1794.000,10870,605.909
1935,WY,WYOMING,237.000,2217,935.443
1936,AK,ALASKA,,,
1936,AL,ALABAMA,2743.000,570,20.780
1936,AR,ARKANSAS,1892.000,107,5.655
1936,AZ,ARIZONA,443.000,2328,525.508
1936,CA,CALIFORNIA,6341.000,49050,773.537
